profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p1,t4,quetra,2399.4,12,0.436513,0,0,0,0,0,263010
p1,t4,ra,3447.1,14,0.389372,0,0,0,0,0,381404
p1,t5,abr,1390.39,4,0.409138,0,0,0,0,0,81434.8
p1,t5,ar,2878.11,6,0.616803,0,0,0,0,0,171245
p1,t5,bba,1842.61,5,0.794272,0,0,0,0,0,108997
p1,t5,bola,1753.6,7,0.332722,0,0,0,0,0,101276
p1,t5,dy,2838.82,8,0.657536,0,0,0,0,0,166721
p1,t5,elastic,1580.47,6,0.385897,0,0,0,0,0,90533.7
p1,t5,gd,2807.77,16,0.64158,0,0,0,0,0,159472
p1,t5,kama,354.067,4,0.912456,0,0,0,0,0,19163.7
p1,t5,quetra,2877.59,6,0.653682,0,0,0,0,0,171088
p1,t5,ra,2877.72,6,0.663213,0,0,0,0,0,170893
p1,t6,abr,1730.74,52,0.464776,3.414,1,3.414,14.084,5,317143
p1,t6,ar,3192.38,33,0.415714,0,0,0,0,0,650271
p1,t6,bba,2556.4,22,0.503344,0,0,0,0,0,522684
p1,t6,bola,2591.72,18,0.291622,3.607,1,3.607,0,0,511007
p1,t6,dy,1657.68,85,0.621081,0,0,0,0.102,1,308741
p1,t6,elastic,2281.94,38,0.318284,3.92,1,3.92,0,0,430253
p1,t6,gd,1957.48,99,0.781788,0,0,0,92.417,43,359354
p1,t6,kama,2279.77,119,0.884837,0,0,0,102.213,42,412935
p1,t6,quetra,3157.26,33,0.402205,0,0,0,0,0,634575
p1,t6,ra,3291.43,51,0.423818,0,0,0,0,0,658528
p1,t7,abr,2523.29,29,0.380451,0.611,1,0.611,0,0,823740
p1,t7,ar,2696.28,21,0.372343,0,0,0,0,0,890668
p1,t7,bba,2289.36,8,0.511806,0,0,0,0,0,764851
p1,t7,bola,2664,17,0.271449,0.682,1,0.682,0,0,880046
p1,t7,dy,2743.98,89,0.578982,0,0,0,0,0,855682
p1,t7,elastic,2474.56,57,0.324988,1.306,1,1.306,0,0,780887
p1,t7,gd,1540.64,79,0.714958,0,0,0,45.77,36,456115
p1,t7,kama,2440.01,109,0.766419,0,0,0,107.928,76,737698
p1,t7,quetra,2689.84,17,0.351785,0,0,0,0,0,892015
p1,t7,ra,2698.3,25,0.382944,0,0,0,0,0,887455
p2,t1,abr,2136.97,11,0.317472,0,0,0,0,0,610240
p2,t1,ar,2621.3,19,0.37339,0.575,1,0.575,0,0,735102
p2,t1,bba,2815.81,4,0.447076,0,0,0,0,0,818767
p2,t1,bola,2879.81,5,0.303534,0,0,0,0,0,835424
p2,t1,dy,1911.14,30,0.44792,0,0,0,0,0,515456
p2,t1,elastic,2444.78,21,0.305441,0.501,1,0.501,0,0,685173
p2,t1,gd,3021.85,20,0.505597,0.52,1,0.52,0,0,858594
p2,t1,kama,1394.22,12,0.563595,0.509,1,0.509,65.527,69,384006
p2,t1,quetra,2401.34,24,0.370432,0,0,0,0,0,666147
p2,t1,ra,2626.82,19,0.370129,0.748,1,0.748,0,0,736721
p2,t2,abr,2282.76,7,0.274942,0,0,0,32.666,2,275240
p2,t2,ar,2851.4,11,0.276021,0,0,0,0,0,345928
p2,t2,bba,3093.53,4,0.351072,0,0,0,6.313,0,382909
p2,t2,bola,2248.33,1,0.316141,0,0,0,0,0,278872
p2,t2,dy,3225.47,24,0.348515,0,0,0,0,0,379068
p2,t2,elastic,2618.51,11,0.232073,0,0,0,0,0,315319
p2,t2,gd,3025.84,26,0.37807,0,0,0,50.715,2,352611
p2,t2,kama,2697.46,10,0.460944,0,0,0,130.623,12,325248
p2,t2,quetra,2864.85,11,0.273811,0,0,0,0,0,343179
p2,t2,ra,2852.69,13,0.280584,0,0,0,0,0,345306
p2,t3,abr,1962.55,13,0.363256,1.471,1,1.471,64.616,20,616318
p2,t3,ar,2737,15,0.307698,0.989,1,0.989,0,0,862080
p2,t3,bba,3255.34,36,0.426148,1.08,1,1.08,2.994,2,982846
p2,t3,bola,1198,0,0.472123,0.729,1,0.729,0,0,387635
p2,t3,dy,3296.96,22,0.468569,1.239,1,1.239,11.845,11,1.04238e+06
p2,t3,elastic,3154.8,62,0.298359,2.58,2,1.29,0,0,919318
p2,t3,gd,1990.74,24,0.457321,0.927,1,0.927,46.877,34,613870
p2,t3,kama,1489.29,20,0.500161,1.016,1,1.016,144.831,132,452749
p2,t3,quetra,2738.78,15,0.31289,0.726,1,0.726,0,0,863803
p2,t3,ra,2746.07,17,0.324309,0.898,1,0.898,0,0,868984
p2,t4,abr,1763.98,5,0.390573,0,0,0,78.695,4,191965
p2,t4,ar,2949.34,9,0.295311,0,0,0,0,0,322101
p2,t4,bba,3221.38,16,0.394264,0,0,0,0,0,335062
p2,t4,bola,2872.65,5,0.294352,0,0,0,0,0,319237
p2,t4,dy,3431.39,20,0.419392,0,0,0,0,0,371539
p2,t4,elastic,3149.2,22,0.274957,0,0,0,0,0,325994
p2,t4,gd,1916.18,24,0.484957,0,0,0,48.214,3,183112
p2,t4,kama,2940.34,10,0.482142,0,0,0,87.706,2,322773
p2,t4,quetra,3412.48,8,0.340494,0,0,0,0,0,383454
p2,t4,ra,3423.62,6,0.30133,0,0,0,0,0,386118
p2,t5,abr,1840.93,2,0.434025,1.147,1,1.147,0,0,105995
p2,t5,ar,2419.91,6,0.58574,0,0,0,0,0,141581
p2,t5,bba,1597.72,5,0.701446,0,0,0,0,0,92507.5
p2,t5,bola,1839.93,2,0.430616,1.324,1,1.324,0,0,105791
p2,t5,dy,755.203,16,0.694133,0,0,0,0,0,33975.6
p2,t5,elastic,2425.53,2,0.332872,1.309,1,1.309,0,0,140399
p2,t5,gd,651.215,10,0.701954,0,0,0,0,0,31131.2
p2,t5,kama,353.332,2,0.798929,0,0,0,0,0,18285.8
p2,t5,quetra,2465.94,6,0.606063,0,0,0,0,0,144414
p2,t5,ra,2408.26,6,0.587543,0,0,0,0,0,141124
p2,t6,abr,2100.46,29,0.388533,3.266,1,3.266,0,0,400248
p2,t6,ar,2392.87,26,0.407298,0,0,0,0,0,475165
p2,t6,bba,2506.91,20,0.817276,0,0,0,0,0,508487
p2,t6,bola,2534.44,16,0.300222,3.315,1,3.315,0,0,492975
p2,t6,dy,4207.68,100,0.705466,0,0,0,15.037,9,824095
p2,t6,elastic,1803.26,33,0.325403,3.281,1,3.281,0,0,334497
p2,t6,gd,3934.77,84,0.779479,0,0,0,84.095,39,770022
p2,t6,kama,4101.19,120,0.820731,0,0,0,115.104,45,778369
p2,t6,quetra,2429.11,24,0.39511,0,0,0,0,0,483813
p2,t6,ra,2452.05,29,0.400933,0,0,0,0,0,485512
p2,t7,abr,2303.46,32,0.405953,0,0,0,0,0,746633
p2,t7,ar,2623.69,17,0.370708,0,0,0,0,0,865283
p2,t7,bba,2641.27,17,0.501466,0,0,0,0,0,871197
p2,t7,bola,2585.79,15,0.282319,0,0,0,0,0,853395
p2,t7,dy,2404.17,74,0.544079,0,0,0,0.361,1,748481
p2,t7,elastic,2150.94,42,0.331318,0,0,0,0,0,684660
p2,t7,gd,2408.78,67,0.712582,0,0,0,101.09,81,756697
p2,t7,kama,2434.86,87,0.736541,0,0,0,94.58,78,747581
p2,t7,quetra,2440.94,16,0.351336,0,0,0,0,0,804432
p2,t7,ra,2448.09,26,0.363865,0,0,0,0,0,798057
p3,t1,abr,1343.42,12,0.323575,4.782,7,0.683143,0,0,347521
p3,t1,ar,1809,15,0.353746,3.858,8,0.48225,0,0,481732
p3,t1,bba,1713.18,5,0.33875,3.764,7,0.537714,0,0,472531
p3,t1,bola,1853.02,10,0.25817,4.878,7,0.696857,0,0,500806
p3,t1,dy,1220.17,4,0.430278,3.91,8,0.48875,18.366,20,325357
p3,t1,elastic,1364.64,26,0.323176,4.541,7,0.648714,0,0,340094
p3,t1,gd,1200,0,0.436905,3.943,8,0.492875,20.629,1,320972
p3,t1,kama,1278.76,4,0.432836,3.975,10,0.3975,13.131,14,342692
p3,t1,quetra,1782.02,15,0.332266,3.878,6,0.646333,0,0,478278
p3,t1,ra,1825.01,11,0.349377,3.569,8,0.446125,0,0,492426
p3,t2,abr,1699.53,4,0.220358,4.062,2,2.031,0,0,182393
p3,t2,ar,2141.92,7,0.20894,4.029,2,2.0145,0,0,235146
p3,t2,bba,2059.51,11,0.228712,3.933,2,1.9665,0,0,225061
p3,t2,bola,2129.93,3,0.231795,4.971,2,2.4855,0,0,229245
p3,t2,dy,1622,0,0.311778,4.185,2,2.0925,45.514,14,173691
p3,t2,elastic,1954.37,15,0.202232,4.046,3,1.34867,0,0,204418
p3,t2,gd,1622,0,0.307369,3.853,2,1.9265,46.784,14,174596
