profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe,bufSize
p4,t1,kama,1200,0,0.150854,63.786,42,1.51871,14.38,20,81031.7,30/60
p4,t1,quetra,1290.97,6,0.129609,63.677,38,1.67571,0,0,105133,30/60
p4,t1,ra,1272.5,8,0.13463,63.647,41,1.55237,0,0,97766.3,30/60
p4,t2,abr,1864.34,74,0.164735,52.751,19,2.77637,16.227,6,-84982.4,30/60
p4,t2,ar,1658.08,2,0.124382,52.304,19,2.75284,0.223,1,-13856.8,30/60
p4,t2,bba,1687.52,8,0.119726,244.913,25,9.79652,0,0,-800320,30/60
p4,t2,bola,1622,0,0.0879236,426.149,32,13.3172,0,0,-1.54154e+06,30/60
p4,t2,dy,1622,0,0.209295,52.388,20,2.6194,19.451,8,-18531.3,30/60
p4,t2,elastic,1633.52,2,0.157653,52.127,22,2.36941,17.316,6,-19458.3,30/60
p4,t2,gd,1622,0,0.12331,60.25,27,2.23148,16.652,5,-50189.2,30/60
p4,t2,kama,1622,0,0.15052,52.242,20,2.6121,21.623,8,-17805.6,30/60
p4,t2,quetra,1657.71,2,0.127574,53.136,19,2.79663,0,0,-20228.6,30/60
p4,t2,ra,1657.79,2,0.113793,52.595,20,2.62975,0.725,1,-16373.5,30/60
p4,t3,abr,1372.08,148,0.141252,2.604,5,0.5208,67.864,103,222093,30/60
p4,t3,ar,1919.45,24,0.155193,5.937,8,0.742125,7.542,6,574994,30/60
p4,t3,bba,1607.77,61,0.117343,5.35,5,1.07,0,0,454694,30/60
p4,t3,bola,1300.22,3,0.181517,20.374,14,1.45529,0,0,337891,30/60
p4,t3,dy,1306,4,0.144564,5.214,6,0.869,92.997,108,398768,30/60
p4,t3,elastic,1625.5,37,0.141,17.895,9,1.98833,38.26,50,420198,30/60
p4,t3,gd,1348.11,4,0.149693,5.55,6,0.925,93.696,104,410543,30/60
p4,t3,kama,1341.35,4,0.13153,4.823,3,1.60767,97.192,117,411328,30/60
p4,t3,quetra,1584.37,25,0.1508,5.162,4,1.2905,48.694,44,473523,30/60
p4,t3,ra,1779.75,34,0.129321,4.99,5,0.998,3.428,6,525845,30/60
p4,t4,abr,1209.95,120,0.14664,0,0,0,115.394,58,-52546.9,30/60
p4,t4,ar,1875.76,20,0.169609,18.539,3,6.17967,9.66,2,106761,30/60
