profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow,qoe
p3,t2,quetra,2175.37,14,0.188492,4.212,2,2.106,0,0,231360
p3,t2,ra,2222.81,14,0.212664,3.81,2,1.905,5.249,3,239550
p3,t3,abr,1357.23,32,0.27696,3.254,2,1.627,147.964,158,402072
p3,t3,ar,2349.79,29,0.244402,1.808,1,1.808,0,0,724359
p3,t3,bba,2085.84,23,0.25906,2.314,1,2.314,0,0,625825
p3,t3,bola,1923.17,1,0.220537,1.891,2,0.9455,0,0,619324
p3,t3,dy,1405.35,10,0.383925,1.936,1,1.936,171.326,165,437970
p3,t3,elastic,2280.69,77,0.166548,2.529,2,1.2645,0,0,639302
p3,t3,gd,1203.54,2,0.387523,1.946,1,1.946,200.918,198,383155
p3,t3,kama,1198,0,0.39492,2.034,1,2.034,200.092,195,381932
p3,t3,quetra,2429.59,47,0.283264,1.745,1,1.745,0,0,728708
p3,t3,ra,2385.68,31,0.237335,2.43,1,2.43,0,0,728862
p3,t4,abr,1401.75,9,0.30453,0,0,0,127.013,14,135137
p3,t4,ar,2552.72,18,0.296587,0,0,0,0,0,257118
p3,t4,bba,1992.01,9,0.26285,0,0,0,0,0,197917
p3,t4,bola,1744.98,1,0.251104,0,0,0,0,0,184705
p3,t4,dy,1522.59,4,0.392632,0,0,0,167.081,6,153387
p3,t4,elastic,1880.29,23,0.173416,0,0,0,19.325,15,181424
p3,t4,gd,1143,0,0.406977,0,0,0,196.602,5,113822
p3,t4,kama,1143,0,0.402218,0,0,0,198.817,8,112261
p3,t4,quetra,2546.18,18,0.316823,0,0,0,2.962,0,257450
p3,t4,ra,2632.22,20,0.27912,0,0,0,0,0,266405
p3,t5,abr,1004.14,16,0.382705,2.138,2,1.069,0,0,40944.4
p3,t5,ar,1891.62,15,0.451249,0,0,0,0,0,101654
p3,t5,bba,1593.16,13,0.471792,0,0,0,0,0,83344.8
p3,t5,bola,1489.84,13,0.388135,0,0,0,0,0,79236
p3,t5,dy,776.595,18,0.688661,0,0,0,17.464,6,33835.1
p3,t5,elastic,1132.55,28,0.347913,8.608,4,2.152,0,0,23635.8
p3,t5,gd,437.928,8,0.712135,0,0,0,46.845,16,17964.5
p3,t5,kama,354.515,2,0.768388,0,0,0,62.419,22,17401.5
p3,t5,quetra,1763.07,13,0.481591,0,0,0,0,0,96428.4
p3,t5,ra,1761.89,13,0.516347,0,0,0,0,0,93379.2
p3,t6,abr,1230.08,58,0.383925,0,0,0,81.896,49,224803
p3,t6,ar,1803.6,64,0.405201,0,0,0,0,0,333626
p3,t6,bba,1649.75,67,0.691036,0,0,0,0,0,304990
p3,t6,bola,1465.86,31,0.277176,0,0,0,0,0,273822
p3,t6,dy,2922.55,129,0.781067,0,0,0,90.708,47,528667
