profile,sample,method,bitrate,change,ineff,stall,numStall,avgStall,overflow,numOverflow
p1,t5,bola,1740.93,11,0.338464,0,0,0,0,0
p1,t5,dy,2747.05,12,0.528655,0,0,0,15.571,9
p1,t5,elastic,2070.76,13,0.346127,0,0,0,0,0
p1,t5,gd,2616.24,32,0.68492,0,0,0,17.795,8
p1,t5,kama,1230.98,18,0.838183,0,0,0,44.025,21
p1,t5,quetra,2793.21,18,0.597177,0,0,0,0,0
p1,t5,ra,2796.31,18,0.593955,0,0,0,0,0
p1,t6,abr,2228.36,41,0.355483,3.739,1,3.739,72.586,48
p1,t6,ar,3005.12,93,0.435842,0,0,0,0,0
p1,t6,bba,3058.92,46,0.703239,0,0,0,0,0
p1,t6,bola,2586.9,19,0.289507,3.5,1,3.5,0,0
p1,t6,dy,2777.72,96,0.642563,0,0,0,14.136,6
p1,t6,elastic,2629.28,45,0.269846,3.568,1,3.568,0,0
p1,t6,gd,1541.54,110,0.845907,0,0,0,209.431,88
p1,t6,kama,4393.63,165,0.802095,0,0,0,101.688,43
p1,t6,quetra,2867.26,43,0.371532,0,0,0,0,0
p1,t6,ra,2909.5,55,0.368381,0,0,0,0,0
p1,t7,abr,2189.86,47,0.381902,0,0,0,63.728,66
p1,t7,ar,2821.55,26,0.323659,0,0,0,0,0
p1,t7,bba,2671.24,20,0.389113,0,0,0,15.318,17
p1,t7,bola,2630.52,14,0.268223,0.984,1,0.984,0,0
p1,t7,dy,2824.86,62,0.463958,0,0,0,11.832,14
p1,t7,elastic,2654.77,34,0.245729,0.86,1,0.86,0,0
p1,t7,gd,1655.49,94,0.65721,0,0,0,125.439,94
p1,t7,kama,1539.79,112,0.775797,0,0,0,204.754,162
p1,t7,quetra,2851.94,28,0.318423,0,0,0,0,0
p1,t7,ra,2863.15,34,0.329281,0,0,0,0,0
p2,t1,abr,1827.17,12,0.331089,0,0,0,55.828,87
p2,t1,ar,2732.93,21,0.289821,0.522,1,0.522,0,0
p2,t1,bba,2584.81,23,0.365083,0.591,1,0.591,0,0
p2,t1,bola,2839.57,5,0.301034,0.592,1,0.592,0,0
p2,t1,dy,2519.51,42,0.396732,0.518,1,0.518,4.141,4
p2,t1,elastic,2636.76,41,0.255355,0,0,0,0,0
p2,t1,gd,2171.94,38,0.497175,0,0,0,51.182,7
p2,t1,kama,1624.78,24,0.501664,0.535,1,0.535,122.306,132
p2,t1,quetra,2714.77,27,0.288971,0,0,0,0,0
p2,t1,ra,2723.84,25,0.297338,0,0,0,0,0
p2,t2,abr,2037.48,10,0.280432,0,0,0,134.56,15
p2,t2,ar,2889.23,9,0.185174,0,0,0,0,0
p2,t2,bba,3144.14,16,0.267871,0,0,0,0,0
p2,t2,bola,2250.66,1,0.312422,0,0,0,0,0
p2,t2,dy,2763.5,25,0.257151,0,0,0,28.598,11
p2,t2,elastic,3074.31,10,0.187121,0,0,0,0,0
p2,t2,gd,2642.01,22,0.317666,0,0,0,38.815,12
p2,t2,kama,2014.82,10,0.373694,0,0,0,169.971,13
p2,t2,quetra,3181.64,14,0.205866,0,0,0,0,0
p2,t2,ra,3218.4,14,0.177101,0,0,0,0,0
p2,t3,abr,1856.15,13,0.33342,1.487,1,1.487,150.977,189
p2,t3,ar,3226.87,22,0.272138,0.943,1,0.943,0,0
p2,t3,bba,3246.43,58,0.313325,0.942,1,0.942,1.012,1
p2,t3,bola,1198,0,0.474161,1.01,1,1.01,0,0
p2,t3,dy,3081.85,34,0.413798,0.687,1,0.687,44.72,35
p2,t3,elastic,3226.48,42,0.26677,8.128,2,4.064,0,0
p2,t3,gd,2260.44,44,0.457103,0.989,1,0.989,111.847,51
p2,t3,kama,2347.79,38,0.463668,0.997,1,0.997,180.882,151
p2,t3,quetra,3279.86,20,0.268117,1.646,1,1.646,0,0
p2,t3,ra,3236.61,18,0.276622,0.988,1,0.988,0,0
p2,t4,abr,1591.08,8,0.379506,0,0,0,180.614,19
p2,t4,ar,3364.59,14,0.209671,0,0,0,0,0
p2,t4,bba,2908.49,23,0.263672,0,0,0,0,0
p2,t4,bola,2289.26,3,0.344636,0,0,0,0,0
p2,t4,dy,3116.67,23,0.368965,0,0,0,7.784,1
p2,t4,elastic,2731.3,9,0.208283,0,0,0,2.77,0
p2,t4,gd,3146.11,28,0.406277,0,0,0,64.494,9
p2,t4,kama,2139.13,22,0.434902,0,0,0,139.217,7
