Th R rho K BO Xk
1800 1500 1.200000 120 30 117.462391
1800 1500 1.200000 120 50 117.710966
1800 1500 1.200000 120 60 117.825703
1800 1500 1.200000 120 100 117.778484
1800 1500 1.200000 120 120 117.902822
1800 1500 1.200000 240 0 234.825903
1800 1500 1.200000 240 5 233.904402
1800 1500 1.200000 240 15 235.536269
1800 1500 1.200000 240 20 235.373893
1800 1500 1.200000 240 30 236.142357
1800 1500 1.200000 240 50 235.301674
1800 1500 1.200000 240 60 236.394972
1800 1500 1.200000 240 100 236.748745
1800 1500 1.200000 240 120 237.052279
1800 1500 1.200000 240 200 237.810244
1200 1500 0.800000 30 0 1.768985
1200 1500 0.800000 30 5 1.648307
1200 1500 0.800000 30 15 1.544129
1200 1500 0.800000 30 20 1.575968
1200 1500 0.800000 30 30 1.658007
1200 1500 0.800000 60 0 1.634327
1200 1500 0.800000 60 5 1.759845
1200 1500 0.800000 60 15 1.609968
1200 1500 0.800000 60 20 1.566209
1200 1500 0.800000 60 30 1.627187
1200 1500 0.800000 60 50 1.715106
1200 1500 0.800000 60 60 1.691126
1200 1500 0.800000 120 0 1.608128
1200 1500 0.800000 120 5 1.499470
1200 1500 0.800000 120 15 1.858123
1200 1500 0.800000 120 20 1.568829
1200 1500 0.800000 120 30 1.713406
1200 1500 0.800000 120 50 1.821144
1200 1500 0.800000 120 60 1.794064
1200 1500 0.800000 120 100 1.972741
1200 1500 0.800000 120 120 2.431811
1200 1500 0.800000 240 0 1.603868
1200 1500 0.800000 240 5 1.600048
1200 1500 0.800000 240 15 1.615368
1200 1500 0.800000 240 20 1.686886
1200 1500 0.800000 240 30 1.619988
1200 1500 0.800000 240 50 1.739345
1200 1500 0.800000 240 60 1.707446
1200 1500 0.800000 240 100 2.233315
1200 1500 0.800000 240 120 2.192996
1200 1500 0.800000 240 200 3.688146
